対象年度,対象リーグ,FB_Name,SC_Name,FB_Pos,SC_Position_Group,FB_Minutes,SC_Minutes,analysis_position_code,analysis_position_jp,analysis_position_source,SC_Primary_Position,SC_Primary_Position_Group,player_name_normalized,dominant_team_name,team_season_signature,fb_dominant_team_name,fb_team_season_signature,join_method,join_method_detail,join_status,Notes
2024-2025,J3,山本　龍平,Ryuhei Yamamoto,DF,Full Back,3976.0,3642.84,SB,サイドバック,LB (Position Group: Full Back),LB,Full Back,Ryuhei Yamamoto,松本,2025|松本|1964.58; 2024|松本|1678.26,松本,2024|松本|2159.00; 2025|松本|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,乾　貴哉,Takaya Inui,DF,Full Back,3760.0,3278.12,SB,サイドバック,LB (Position Group: Full Back),LB,Full Back,Takaya Inui,北九州,2024|北九州|2380.81; 2025|栃木Ｃ|897.31,北九州,2024|北九州|2945.00; 2025|栃木Ｃ|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,石原　崇兆,Takayoshi Ishihara,MF,Full Back,3760.0,3108.349999999999,SB,サイドバック,LWB (Position Group: Full Back),LWB,Full Back,Takayoshi Ishihara,金沢,2024|金沢|2145.12; 2025|金沢|963.23,金沢,2024|金沢|2882.00; 2025|金沢|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=medium; issues元候補: Shunya Mouri
2024-2025,J3,荒木　遼太,Ryota Araki,DF,Full Back,3574.0,3785.47,SB,サイドバック,Right Wing Back (Position Group: Full Back),Right Wing Back,Full Back,Ryota Araki,琉球,2025|琉球|3593.61; 2024|琉球|191.86,琉球,2024|琉球|267.00; 2025|琉球|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,加々美　登生,Toi Kagami,FW,Wide Attacker,3545.0,3052.39,SB,サイドバック,LWB (Position Group: Full Back),LWB,Full Back,Toi Kagami,岩手,2024|岩手|1866.43; 2025|群馬|1185.96,岩手,2024|岩手|2460.00; 2025|群馬|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,近藤　貴司,Takashi Kondo,MF,Full Back,3539.0,3247.71,SB,サイドバック,RWB (Position Group: Full Back),RWB,Full Back,Takashi Kondo,長野,2024|長野|1791.65; 2025|長野|1456.06,長野,2024|長野|2153.00; 2025|長野|0.00,exact,composite_exact,matched,j3_2024_2025_missing_english_name_research 手動確定 (2026-04-09)
2024-2025,J3,上月　翔聖,Shosei Kozuki,MF,Full Back,3418.0,3727.769999999999,SB,サイドバック,Right Wing Back (Position Group: Full Back),Right Wing Back,Full Back,Shosei Kozuki,高知,2025|高知|3727.77,高知,2025|高知|0.00,exact,composite_exact,matched,j3_2024_2025_missing_english_name_research 手動確定 (2026-04-09)
2024-2025,J3,濱　託巳,Takumi Hama,DF,Full Back,3247.0,2873.88,SB,サイドバック,LB (Position Group: Full Back),LB,Full Back,Takumi Hama,沼津,2024|沼津|2873.88,沼津,2024|沼津|3247.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,高野　遼,Ryo Takano,DF,Full Back,3224.0,3199.7,SB,サイドバック,LWB (Position Group: Full Back),LWB,Full Back,Ryo Takano,相模原,2025|相模原|1622.82; 2024|相模原|1576.88,相模原,2024|相模原|1800.00; 2025|相模原|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,外山　凌,Ryo Toyama,DF,Full Back,3159.0,3489.31,SB,サイドバック,Right Back (Position Group: Full Back),Right Back,Full Back,Ryo Toyama,岐阜,2025|岐阜|3489.31,岐阜,2025|岐阜|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,オタボー　ケネス,Kenneth Otabor,FW,Wide Attacker,3130.0,2610.55,SB,サイドバック,RWB (Position Group: Full Back),RWB,Full Back,Kenneth Otabor,岩手,2024|岩手|2092.50; 2025|栃木SC|518.05,岩手,2024|岩手|2738.00; 2025|栃木SC|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,石田　崚真,Ryoma Ishida,DF,Full Back,3098.0,2365.53,SB,サイドバック,RB (Position Group: Full Back),RB,Full Back,Ryoma Ishida,岐阜,2024|岐阜|1709.67; 2025|岐阜|655.86,岐阜,2024|岐阜|2530.00; 2025|岐阜|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,安光　将作,Shosaku Yasumitsu,DF,Full Back,3036.0,2719.24,SB,サイドバック,LB (Position Group: Full Back),LB,Full Back,Shosaku Yasumitsu,富山,2024|富山|2719.24,富山,2024|富山|3036.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,吉田　源太郎,Gentaro Yoshida,MF,Full Back,2944.0,2238.8399999999997,SB,サイドバック,LWB (Position Group: Full Back),LWB,Full Back,Gentaro Yoshida,讃岐,2024|讃岐|2238.84,讃岐,2024|讃岐|2944.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=medium; issues元候補: Shunji Takemura
