FB_Name,SC_Name,analysis_position_code,cluster_id,analysis_position_jp,cluster_distance_to_center,z_running_distance_full_all_per_match,z_hi_distance_full_all_per_match,z_sprint_count_full_all_per_match,z_crosses_per90,z_cross_success_rate_pct,z_pa_entry_per90,z_tackle_win_rate_pct,z_blocks_per90,z_forward_long_pass_success_rate_pct,z_regain_within_5s_per90,distance_to_cluster_center_2,score_cluster_0,score_cluster_1,score_cluster_2,score_cluster_3,rank_cluster_0,rank_cluster_1,rank_cluster_2,rank_cluster_3
橋本　陸斗,Rikuto Hashimoto,SB,0,サイドバック,2.049289,0.87766,0.669191,0.295768,-0.06512,0.581849,0.175829,-0.699664,-0.575796,-1.515099,-0.47574,2.4773629003973157,1.842619,-2.5666349999999998,-2.4773629003973157,-0.5889549999999999,32,115,48,86
青山　生,Ikiru Aoyama,SB,2,サイドバック,2.339401,-0.135697,0.092069,0.180814,-0.650878,-0.114757,-0.780112,1.612601,0.388348,-0.003185,0.049104,2.339400781378428,0.13718599999999997,0.434267,-2.339400781378428,0.18161099999999997,64,37,40,39
弓場　堅真,Kenshin Yuba,SB,0,サイドバック,2.98478,1.753806,1.211354,0.489845,-0.054205,-0.368284,1.040157,-2.112907,-0.903676,1.185339,-0.556681,4.047870073241358,3.455005,-0.2750180000000002,-4.047870073241358,-1.126955,13,74,99,96
河上　将平,Shohei Kawakami,SB,2,サイドバック,1.193037,0.153726,0.148219,0.208526,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,1.1930370411965423,0.510471,-0.161028,-1.1930370411965423,-0.093431,57,61,14,65
福宮　弘乃介,Konosuke  Fukumiya,SB,2,サイドバック,1.203346,0.219281,-0.126999,0.351948,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,1.203346026413018,0.44423,-0.161028,-1.203346026413018,-0.093431,59,65,15,69
佐藤　尚輝,Naoki Sato,SB,1,サイドバック,2.365781,-0.755294,-1.533272,-1.845561,-0.91021,-1.350519,-1.562305,0.949599,-0.845956,-0.212451,1.245071,3.4817216701314595,-4.134126999999999,0.186664,-3.4817216701314595,-1.522916,113,39,85,101
小暮　大器,Daiki Kogure,SB,2,サイドバック,1.840894,-0.966145,-0.788844,-0.638228,1.064213,0.579994,-0.111955,0.555138,-1.158794,0.021579,-0.918235,1.840894353870966,-2.393217,-2.05545,-1.840894353870966,1.507396,99,110,25,20
馬渡　和彰,Kazuaki Mawatari,SB,2,サイドバック,2.557506,-1.52565,-1.107372,-0.632069,1.554866,-0.025384,1.183461,-0.630879,-0.638185,-1.061518,0.08085,2.5575058769044894,-3.265091,-1.618853,-2.5575058769044894,2.1074479999999998,105,106,52,17
ユ　イェチャン,Ye-chan Yu,SB,0,サイドバック,0.637618,0.607634,0.550576,0.674591,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,1.9082725461036742,1.832801,-0.161028,-1.9082725461036742,-0.093431,33,43,26,47
星　広太,Kota Hoshi,SB,0,サイドバック,0.77375,0.890304,0.609258,0.131549,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,1.910802988547223,1.631111,-0.161028,-1.910802988547223,-0.093431,39,58,27,62
