対象年度,対象リーグ,FB_Name,SC_Name,FB_Pos,SC_Position_Group,FB_Minutes,SC_Minutes,analysis_position_code,analysis_position_jp,analysis_position_source,SC_Primary_Position,SC_Primary_Position_Group,player_name_normalized,dominant_team_name,team_season_signature,fb_dominant_team_name,fb_team_season_signature,join_method,join_method_detail,join_status,Notes
2024-2025,J3,大城　蛍,Kei Oshiro,DF,Central Defender,1790.0,786.72,CB,センターバック,RCB (Position Group: Central Defender),RCB,Central Defender,Kei Oshiro,鳥取,2024|鳥取|786.72,鳥取,2024|鳥取|1790.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08)
2024-2025,J3,柳　雄太郎,Yutaro Yanagi,MF,Central Defender,1732.0,1207.6699999999998,CB,センターバック,RCB (Position Group: Central Defender),RCB,Central Defender,Yutaro Yanagi,YS横浜,2024|YS横浜|1164.60; 2025|讃岐|43.07,YS横浜,2024|YS横浜|1695.00; 2025|讃岐|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=review; issues元候補: Shunji Takemura
2024-2025,J3,吉田　知樹,Tomoki Yoshida,DF,Central Defender,1720.0,1874.4,CB,センターバック,Right Center Back (Position Group: Central Defender),Right Center Back,Central Defender,Tomoki Yoshida,高知,2025|高知|1874.40,高知,2025|高知|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,藤原　拓也,Takuya Fujiwara,DF,Central Defender,1680.0,1541.07,CB,センターバック,LCB (Position Group: Central Defender),LCB,Central Defender,Takuya Fujiwara,YS横浜,2024|YS横浜|1480.95; 2025|栃木Ｃ|60.12,YS横浜,2024|YS横浜|1680.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,堂鼻　起暉,Kazuki Dohana,DF,Central Defender,1677.0,977.5,CB,センターバック,LCB (Position Group: Central Defender),LCB,Central Defender,Kazuki Dohana,福島,2024|福島|977.50,福島,2024|福島|1677.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08)
2024-2025,J3,岡崎　慎,Makoto Okazaki,DF,Central Defender,1672.0,1896.53,CB,センターバック,Right Center Back (Position Group: Central Defender),Right Center Back,Central Defender,Makoto Okazaki,鹿児島,2025|鹿児島|1282.56; 2024|岐阜|613.97,岐阜,2024|岐阜|600.00; 2025|鹿児島|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,平　智広,Tomohiro Taira,DF,Central Defender,1639.0,1855.52,CB,センターバック,Left Center Back (Position Group: Central Defender),Left Center Back,Central Defender,Tomohiro Taira,金沢,2025|金沢|1008.23; 2024|金沢|847.29,金沢,2024|金沢|735.00; 2025|金沢|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,小林　大智,Daichi Kobayashi,DF,Central Defender,1607.0,1751.12,CB,センターバック,Right Center Back (Position Group: Central Defender),Right Center Back,Central Defender,Daichi Kobayashi,高知,2025|高知|1751.12,高知,2025|高知|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,林田　魁斗,Kaito Hayashida,DF,Central Defender,1576.0,1493.38,CB,センターバック,Right Center Back (Position Group: Central Defender),Right Center Back,Central Defender,Kaito Hayashida,讃岐,2025|讃岐|941.39; 2024|FC大阪|502.80; 2025|FC大阪|49.19,FC大阪,2024|FC大阪|704.00; 2025|FC大阪|0.00; 2025|讃岐|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,野末　学,Satoru Nozue,DF,Central Defender,1568.0,1671.65,CB,センターバック,RCB (Position Group: Central Defender),RCB,Central Defender,Satoru Nozue,福島,2024|福島|1208.16; 2025|福島|463.49,福島,2024|福島|1192.00; 2025|福島|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
