player_name_raw_skillcorner,player_name_normalized,dominant_team_name,team_season_key,team_season_signature,season_scope,sc_total_minutes,SC_Primary_Position,SC_Primary_Position_Minutes,SC_Primary_Position_Share,SC_Primary_Position_Group,SC_Secondary_Position,SC_Secondary_Position_Minutes,SC_Secondary_Position_Share,SC_Secondary_Position_Group,SC_All_Positions_Detail,analysis_position_code,analysis_position_jp,analysis_position_source
Takumi Tsukui,Takumi Tsukui,沼津,2024|沼津,2024|沼津|2017.31,2024-2025,2017.31,RF,1229.59,60.95,Wide Attacker,RW,713.09,35.35,Wide Attacker,"RF(1230min/61.0%), RW(713min/35.3%), AM(75min/3.7%)",SH,サイドハーフ,RF (Position Group: Wide Attacker)
Takumi Wakaya,Takumi Wakaya,北九州,2024|北九州,2024|北九州|99.65,2024-2025,99.65,RW,48.92,49.09,Wide Attacker,AM,44.95,45.11,Midfield,"RW(49min/49.1%), AM(45min/45.1%), RDM(6min/5.8%)",SH,サイドハーフ,RW (Position Group: Wide Attacker)
Takumi Yamaguchi,Takumi Yamaguchi,鹿児島,2025|鹿児島,2025|鹿児島|3316.04,2024-2025,3316.04,Right Midfield,2302.44,69.43,Midfield,Left Midfield,1013.6,30.57,Midfield,"Right Midfield(2302min/69.4%), Left Midfield(1014min/30.6%)",SH,サイドハーフ,Right Midfield (Position Group: Midfield)
Takumu Fujinuma,Takumu Fujinuma,相模原,2025|相模原; 2024|相模原,2025|相模原|422.88; 2024|相模原|195.58,2024-2025,618.46,Right Wing Back,269.66,43.6,Full Back,CF,190.06,30.73,Center Forward,"Right Wing Back(270min/43.6%), CF(190min/30.7%), Left Wing Back(66min/10.6%), Center Forward(54min/8.8%), Right Midfield(33min/5.4%), LF(6min/0.9%)",SB,サイドバック,Right Wing Back (Position Group: Full Back)
Takuto Kato,Takuto Kato,福島,2024|福島,2024|福島|470.29,2024-2025,470.29,DM,391.29,83.2,Midfield,LM,63.82,13.57,Midfield,"DM(391min/83.2%), LM(64min/13.6%), RM(15min/3.2%)",CMF,セントラルMF,DM (Position Group: Midfield)
Takuya Akiyama,Takuya Akiyama,FC大阪,2025|FC大阪; 2024|FC大阪,2025|FC大阪|3210.34; 2024|FC大阪|2166.95,2024-2025,5377.29,Left Center Back,3191.77,59.36,Central Defender,LCB,1186.88,22.07,Central Defender,"Left Center Back(3192min/59.4%), LCB(1187min/22.1%), RCB(980min/18.2%), Right Midfield(19min/0.3%)",CB,センターバック,Left Center Back (Position Group: Central Defender)
Takuya Aoki,Takuya Aoki,岐阜,2024|岐阜,2024|岐阜|122.10,2024-2025,122.1,RM,74.45,60.97,Midfield,LM,47.65,39.03,Midfield,"RM(74min/61.0%), LM(48min/39.0%)",SH,サイドハーフ,RM (Position Group: Midfield)
Takuya Fujiwara,Takuya Fujiwara,YS横浜,2024|YS横浜; 2025|栃木Ｃ,2024|YS横浜|1480.95; 2025|栃木Ｃ|60.12,2024-2025,1541.07,LCB,1466.27,95.15,Central Defender,Center Forward,60.12,3.9,Center Forward,"LCB(1466min/95.1%), Center Forward(60min/3.9%), RWB(15min/1.0%)",CB,センターバック,LCB (Position Group: Central Defender)
Takuya Hitomi,Takuya Hitomi,MIO Biwako Shiga,2025|MIO Biwako Shiga,2025|MIO Biwako Shiga|196.93,2024-2025,196.93,Left Winger,196.93,100.0,Wide Attacker,,,,,Left Winger(197min/100.0%),SH,サイドハーフ,Left Winger (Position Group: Wide Attacker)
Takuya Sugai,Takuya Sugai,沼津,2024|沼津; 2025|沼津,2024|沼津|1982.42; 2025|沼津|1046.06,2024-2025,3028.48,DM,1393.81,46.02,Midfield,Center Midfield,585.65,19.34,Midfield,"DM(1394min/46.0%), Center Midfield(586min/19.3%), LDM(290min/9.6%), LM(255min/8.4%), Right Midfield(202min/6.7%), Left Midfield(103min/3.4%), Defensive Midfield(96min/3.2%), Left Winger(54min/1.8%), CF(34min/1.1%), RDM(10min/0.3%), Right Back(6min/0.2%)",CMF,セントラルMF,DM (Position Group: Midfield)
Takuya Wada,Takuya Wada,大宮,2024|大宮,2024|大宮|812.31,2024-2025,812.31,RM,573.42,70.59,Midfield,LM,154.41,19.01,Midfield,"RM(573min/70.6%), LM(154min/19.0%), AM(29min/3.6%), RF(28min/3.4%), LF(28min/3.4%)",SH,サイドハーフ,RM (Position Group: Midfield)
Tatsuma Sakai,Tatsuma Sakai,奈良,2024|奈良; 2025|奈良,2024|奈良|316.17; 2025|奈良|242.83,2024-2025,559.0,RF,115.81,20.72,Wide Attacker,LF,86.8,15.53,Wide Attacker,"RF(116min/20.7%), LF(87min/15.5%), CF(80min/14.3%), Right Winger(76min/13.6%), Center Forward(54min/9.6%), Right Midfield(47min/8.5%), RW(33min/6.0%), Attacking Midfield(30min/5.3%), Left Winger(15min/2.7%), Left Midfield(11min/1.9%), Left Back(10min/1.8%)",SH,サイドハーフ,RF (Position Group: Wide Attacker)
Tatsushi Koyanagi,Tatsushi Koyanagi,群馬,2025|群馬,2025|群馬|1554.60,2024-2025,1554.6,Right Center Back,1152.82,74.16,Central Defender,Center Back,401.78,25.84,Central Defender,"Right Center Back(1153min/74.2%), Center Back(402min/25.8%)",CB,センターバック,Right Center Back (Position Group: Central Defender)
Tatsuya Anzai,Tatsuya Anzai,沼津,2024|沼津; 2025|福島,2024|沼津|2915.14; 2025|福島|1975.10,2024-2025,4890.24,RB,2915.14,59.61,Full Back,Left Back,1220.44,24.96,Full Back,"RB(2915min/59.6%), Left Back(1220min/25.0%), Right Back(755min/15.4%)",SB,サイドバック,RB (Position Group: Full Back)
Tatsuya Hakozaki,Tatsuya Hakozaki,岐阜,2025|岐阜,2025|岐阜|1974.67,2024-2025,1974.67,Right Midfield,855.3,43.31,Midfield,Left Midfield,616.11,31.2,Midfield,"Right Midfield(855min/43.3%), Left Midfield(616min/31.2%), Center Forward(179min/9.1%), Center Midfield(170min/8.6%), Left Defensive Midfield(116min/5.8%), Attacking Midfield(39min/2.0%)",SH,サイドハーフ,Right Midfield (Position Group: Midfield)
Tatsuya Shirai,Tatsuya Shirai,八戸,2025|八戸; 2024|今治,2025|八戸|3740.57; 2024|今治|629.55,2024-2025,4370.12,Right Center Back,3443.77,78.8,Central Defender,RCB,509.17,11.65,Central Defender,"Right Center Back(3444min/78.8%), RCB(509min/11.7%), Center Back(100min/2.3%), Left Center Back(98min/2.3%), Right Wing Back(98min/2.2%), CB(98min/2.2%), RWB(14min/0.3%), RB(9min/0.2%)",CB,センターバック,Right Center Back (Position Group: Central Defender)
Teppei Chikaishi,Teppei Chikaishi,八戸,2024|八戸; 2025|八戸,2024|八戸|1577.90; 2025|八戸|203.23,2024-2025,1781.13,CB,1577.9,88.59,Central Defender,Center Back,145.26,8.16,Central Defender,"CB(1578min/88.6%), Center Back(145min/8.2%), Left Center Back(51min/2.8%), Right Center Back(7min/0.4%)",CB,センターバック,CB (Position Group: Central Defender)
Teppei Usui,Teppei Usui,長野,2024|長野,2024|長野|693.96,2024-2025,693.96,RM,401.02,57.79,Midfield,LM,265.44,38.25,Midfield,"RM(401min/57.8%), LM(265min/38.3%), DM(28min/4.0%)",SH,サイドハーフ,RM (Position Group: Midfield)
Terukazu Shinozaki,Terukazu Shinozaki,沼津,2025|沼津; 2024|沼津,2025|沼津|2994.79; 2024|沼津|197.77,2024-2025,3192.56,Right Center Back,2405.32,75.34,Central Defender,Left Center Back,296.26,9.28,Central Defender,"Right Center Back(2405min/75.3%), Left Center Back(296min/9.3%), RCB(198min/6.2%), Center Back(192min/6.0%), Right Back(101min/3.2%)",CB,センターバック,Right Center Back (Position Group: Central Defender)
Teruyoshi Ito,Teruyoshi Ito,沼津,2024|沼津,2024|沼津|4.70,2024-2025,4.7,RM,4.7,100.0,Midfield,,,,,RM(5min/100.0%),SH,サイドハーフ,RM (Position Group: Midfield)
Tetsuya Chinen,Tetsuya Chinen,大宮,2024|大宮,2024|大宮|246.19,2024-2025,246.19,LCB,234.42,95.22,Central Defender,LWB,11.77,4.78,Full Back,"LCB(234min/95.2%), LWB(12min/4.8%)",CB,センターバック,LCB (Position Group: Central Defender)
Tetsuya Kato,Tetsuya Kato,今治,2024|今治,2024|今治|2567.86,2024-2025,2567.86,LCB,1800.68,70.12,Central Defender,LB,684.5,26.66,Full Back,"LCB(1801min/70.1%), LB(684min/26.7%), LWB(83min/3.2%)",CB,センターバック,LCB (Position Group: Central Defender)
Thales Procopio Castro de Paula,Thales Procopio Castro de Paula,長野,2025|長野; 2025|八戸,2025|長野|851.14; 2025|八戸|19.95,2024-2025,871.09,Right Winger,580.22,66.61,Wide Attacker,Left Wing Back,194.92,22.38,Full Back,"Right Winger(580min/66.6%), Left Wing Back(195min/22.4%), Left Winger(49min/5.6%), Right Wing Back(27min/3.1%), Defensive Midfield(20min/2.3%)",SH,サイドハーフ,Right Winger (Position Group: Wide Attacker)
Tiago de Santana da Silva,Tiago de Santana da Silva,松本,2025|松本,2025|松本|60.79,2024-2025,60.79,Right Center Back,38.37,63.12,Central Defender,Left Midfield,22.42,36.88,Midfield,"Right Center Back(38min/63.1%), Left Midfield(22min/36.9%)",CB,センターバック,Right Center Back (Position Group: Central Defender)
Toi Kagami,Toi Kagami,岩手,2024|岩手; 2025|群馬,2024|岩手|1866.43; 2025|群馬|1185.96,2024-2025,3052.39,LWB,525.48,17.22,Full Back,RW,459.15,15.04,Wide Attacker,"LWB(525min/17.2%), RW(459min/15.0%), Center Forward(414min/13.6%), RF(355min/11.6%), LF(191min/6.3%), Left Winger(177min/5.8%), Left Forward(175min/5.7%), AM(167min/5.5%), LW(140min/4.6%), Right Wing Back(126min/4.1%), Left Midfield(102min/3.3%), Left Wing Back(99min/3.2%), Right Midfield(50min/1.6%), Right Winger(30min/1.0%), CF(29min/1.0%), Right Forward(14min/0.4%)",SB,サイドバック,LWB (Position Group: Full Back)
Tomohiko Miyazaki,Tomohiko Miyazaki,福島,2024|福島; 2025|福島,2024|福島|424.54; 2025|福島|64.90,2024-2025,489.44,DM,367.87,75.16,Midfield,LM,56.67,11.58,Midfield,"DM(368min/75.2%), LM(57min/11.6%), Right Midfield(53min/10.8%), Left Midfield(10min/2.1%), Defensive Midfield(2min/0.4%)",CMF,セントラルMF,DM (Position Group: Midfield)
Tomohiro Taira,Tomohiro Taira,金沢,2025|金沢; 2024|金沢,2025|金沢|1008.23; 2024|金沢|847.29,2024-2025,1855.52,Left Center Back,910.06,49.05,Central Defender,LCB,762.36,41.09,Central Defender,"Left Center Back(910min/49.0%), LCB(762min/41.1%), Right Center Back(98min/5.3%), LWB(52min/2.8%), LB(18min/1.0%), CB(15min/0.8%)",CB,センターバック,Left Center Back (Position Group: Central Defender)
Tomoki Fujisaki,Tomoki Fujisaki,八戸,2024|八戸,2024|八戸|642.94,2024-2025,642.94,LCB,634.09,98.62,Central Defender,LM,8.85,1.38,Midfield,"LCB(634min/98.6%), LM(9min/1.4%)",CB,センターバック,LCB (Position Group: Central Defender)
Tomoki Hino,Tomoki Hino,今治,2024|今治; 2025|MIO Biwako Shiga,2024|今治|296.41; 2025|MIO Biwako Shiga|131.37,2024-2025,427.78,Center Forward,131.37,30.71,Center Forward,LM,117.15,27.39,Midfield,"Center Forward(131min/30.7%), LM(117min/27.4%), CF(100min/23.3%), RW(42min/9.8%), AM(30min/7.1%), RM(7min/1.7%)",FW,フォワード,Center Forward (Position Group: Center Forward)
Tomoki Yoshida,Tomoki Yoshida,高知,2025|高知,2025|高知|1874.40,2024-2025,1874.4,Right Center Back,1320.14,70.43,Central Defender,Right Wing Back,298.38,15.92,Full Back,"Right Center Back(1320min/70.4%), Right Wing Back(298min/15.9%), Right Midfield(109min/5.8%), Right Back(99min/5.3%), Center Back(48min/2.6%)",CB,センターバック,Right Center Back (Position Group: Central Defender)
Tomoya Kitamura,Tomoya Kitamura,宮崎,2024|宮崎,2024|宮崎|330.47,2024-2025,330.47,CF,220.23,66.64,Center Forward,AM,110.24,33.36,Midfield,"CF(220min/66.6%), AM(110min/33.4%)",FW,フォワード,CF (Position Group: Center Forward)
Tomoya Osawa,Tomoya Osawa,金沢,2025|金沢; 2024|大宮,2025|金沢|2499.54; 2024|大宮|761.34,2024-2025,3260.88,Right Winger,1297.78,39.8,Wide Attacker,Left Winger,1174.79,36.03,Wide Attacker,"Right Winger(1298min/39.8%), Left Winger(1175min/36.0%), CF(226min/6.9%), RF(208min/6.4%), AM(138min/4.2%), RW(101min/3.1%), LF(64min/2.0%), Center Forward(27min/0.8%), LM(24min/0.7%)",SH,サイドハーフ,Right Winger (Position Group: Wide Attacker)
Tomoya Yokoyama,Tomoya Yokoyama,岐阜,2025|岐阜; 2024|岐阜,2025|岐阜|1091.16; 2024|岐阜|268.68,2024-2025,1359.84,Right Winger,673.71,49.54,Wide Attacker,Right Forward,187.81,13.81,Wide Attacker,"Right Winger(674min/49.5%), Right Forward(188min/13.8%), Left Winger(171min/12.5%), AM(121min/8.9%), CF(70min/5.1%), Center Forward(59min/4.3%), RW(46min/3.4%), RF(32min/2.4%)",SH,サイドハーフ,Right Winger (Position Group: Wide Attacker)
Tomoyasu Yoshida,Tomoyasu Yoshida,宮崎,2024|宮崎,2024|宮崎|771.37,2024-2025,771.37,LB,771.37,100.0,Full Back,,,,,LB(771min/100.0%),SB,サイドバック,LB (Position Group: Full Back)
Tomoyuki Shiraishi,Tomoyuki Shiraishi,MIO Biwako Shiga,2025|MIO Biwako Shiga,2025|MIO Biwako Shiga|108.83,2024-2025,108.83,Right Center Back,100.03,91.91,Central Defender,Left Wing Back,8.8,8.09,Full Back,"Right Center Back(100min/91.9%), Left Wing Back(9min/8.1%)",CB,センターバック,Right Center Back (Position Group: Central Defender)
Tomás Moschión,Tomás Moschión,今治,2024|今治,2024|今治|1750.95,2024-2025,1750.95,RM,1463.98,83.61,Midfield,DM,286.97,16.39,Midfield,"RM(1464min/83.6%), DM(287min/16.4%)",SH,サイドハーフ,RM (Position Group: Midfield)
Toranosuke Onozeki,Toranosuke Onozeki,群馬,2025|群馬,2025|群馬|77.56,2024-2025,77.56,Center Forward,48.13,62.06,Center Forward,Left Midfield,13.9,17.92,Midfield,"Center Forward(48min/62.1%), Left Midfield(14min/17.9%), Right Winger(12min/15.0%), Left Winger(4min/5.0%)",FW,フォワード,Center Forward (Position Group: Center Forward)
Toru Shibata,Toru Shibata,福島,2024|福島; 2025|福島,2024|福島|391.06; 2025|福島|318.04,2024-2025,709.1,RB,391.06,55.15,Full Back,Right Back,280.18,39.51,Full Back,"RB(391min/55.1%), Right Back(280min/39.5%), Right Midfield(17min/2.4%), Right Center Back(11min/1.6%), Left Back(9min/1.3%)",SB,サイドバック,RB (Position Group: Full Back)
Toshiki Ishikawa,Toshiki Ishikawa,大宮,2024|大宮,2024|大宮|1916.47,2024-2025,1916.47,LM,633.0,33.03,Midfield,RM,397.94,20.76,Midfield,"LM(633min/33.0%), RM(398min/20.8%), AM(328min/17.1%), RF(297min/15.5%), LF(200min/10.4%), RW(61min/3.2%)",SH,サイドハーフ,LM (Position Group: Midfield)
Toshiki Kawai,Toshiki Kawai,宮崎,2025|宮崎,2025|宮崎|1119.96,2024-2025,1119.96,Left Defensive Midfield,473.49,42.28,Midfield,Right Defensive Midfield,219.58,19.61,Midfield,"Left Defensive Midfield(473min/42.3%), Right Defensive Midfield(220min/19.6%), Right Midfield(201min/18.0%), Left Midfield(171min/15.3%), Attacking Midfield(54min/4.8%)",CMF,セントラルMF,Left Defensive Midfield (Position Group: Midfield)
Toshiki Mori,Toshiki Mori,栃木Ｃ,2025|栃木Ｃ,2025|栃木Ｃ|1636.82,2024-2025,1636.82,Right Midfield,663.5,40.54,Midfield,Left Midfield,658.68,40.24,Midfield,"Right Midfield(664min/40.5%), Left Midfield(659min/40.2%), Left Forward(119min/7.3%), Center Midfield(84min/5.1%), Right Forward(58min/3.5%), Right Winger(34min/2.1%), Left Back(13min/0.8%), Right Back(8min/0.5%)",SH,サイドハーフ,Right Midfield (Position Group: Midfield)
Toshiki Toya,Toshiki Toya,高知,2025|高知,2025|高知|2180.37,2024-2025,2180.37,Center Forward,1945.65,89.23,Center Forward,Left Wing Back,176.18,8.08,Full Back,"Center Forward(1946min/89.2%), Left Wing Back(176min/8.1%), Right Winger(39min/1.8%), Left Midfield(19min/0.9%)",FW,フォワード,Center Forward (Position Group: Center Forward)
Toshio Shimakawa,Toshio Shimakawa,相模原,2025|相模原,2025|相模原|2827.64,2024-2025,2827.64,Defensive Midfield,1973.25,69.78,Midfield,Right Midfield,544.16,19.24,Midfield,"Defensive Midfield(1973min/69.8%), Right Midfield(544min/19.2%), Left Midfield(211min/7.5%), Center Midfield(100min/3.5%)",CMF,セントラルMF,Defensive Midfield (Position Group: Midfield)
Toshiya Tanaka,Toshiya Tanaka,鹿児島,2025|鹿児島,2025|鹿児島|1470.71,2024-2025,1470.71,Right Winger,1135.09,77.18,Wide Attacker,Left Winger,252.6,17.18,Wide Attacker,"Right Winger(1135min/77.2%), Left Winger(253min/17.2%), Center Forward(42min/2.8%), Right Midfield(31min/2.1%), Left Midfield(11min/0.7%)",SH,サイドハーフ,Right Winger (Position Group: Wide Attacker)
Toya Izumi,Toya Izumi,大宮,2024|大宮,2024|大宮|2246.08,2024-2025,2246.08,LWB,1814.78,80.8,Full Back,LW,431.3,19.2,Wide Attacker,"LWB(1815min/80.8%), LW(431min/19.2%)",SB,サイドバック,LWB (Position Group: Full Back)
Toyofumi Sakano,Toyofumi Sakano,今治,2024|今治,2024|今治|795.63,2024-2025,795.63,CF,661.58,83.15,Center Forward,LM,115.52,14.52,Midfield,"CF(662min/83.2%), LM(116min/14.5%), AM(19min/2.3%)",FW,フォワード,CF (Position Group: Center Forward)
Tsubasa Ando,Tsubasa Ando,松本,2024|松本; 2025|松本,2024|松本|1826.30; 2025|松本|509.44,2024-2025,2335.74,CF,926.44,39.66,Center Forward,RF,393.77,16.86,Wide Attacker,"CF(926min/39.7%), RF(394min/16.9%), Center Forward(365min/15.6%), AM(193min/8.2%), LF(137min/5.9%), Right Winger(123min/5.3%), RW(99min/4.2%), LW(63min/2.7%), LM(14min/0.6%), Attacking Midfield(11min/0.5%), Left Winger(10min/0.4%)",FW,フォワード,CF (Position Group: Center Forward)
Tsubasa Nakamura,Tsubasa Nakamura,福島,2025|福島,2025|福島|780.38,2024-2025,780.38,Right Forward,334.44,42.86,Wide Attacker,Right Winger,212.09,27.18,Wide Attacker,"Right Forward(334min/42.9%), Right Winger(212min/27.2%), Center Forward(82min/10.5%), Left Midfield(67min/8.6%), Right Midfield(58min/7.5%), Center Midfield(18min/2.4%), Left Winger(8min/1.0%)",SH,サイドハーフ,Right Forward (Position Group: Wide Attacker)
Tsubasa Yoshihira,Tsubasa Yoshihira,富山,2024|富山,2024|富山|1652.23,2024-2025,1652.23,LW,1518.47,91.9,Wide Attacker,AM,100.91,6.11,Midfield,"LW(1518min/91.9%), AM(101min/6.1%), RW(33min/2.0%)",SH,サイドハーフ,LW (Position Group: Wide Attacker)
Tsubasa Yuge,Tsubasa Yuge,岩手,2024|岩手,2024|岩手|295.00,2024-2025,295.0,RM,195.7,66.34,Midfield,LM,99.3,33.66,Midfield,"RM(196min/66.3%), LM(99min/33.7%)",SH,サイドハーフ,RM (Position Group: Midfield)
Tsuneyasu Mio,Tsuneyasu Mio,鳥取,2024|鳥取; 2025|鳥取,2024|鳥取|227.94; 2025|鳥取|32.97,2024-2025,260.91,RW,137.58,52.73,Wide Attacker,RDM,34.53,13.23,Midfield,"RW(138min/52.7%), RDM(35min/13.2%), RM(33min/12.8%), CF(22min/8.6%), Right Wing Back(22min/8.4%), Left Midfield(11min/4.2%)",SH,サイドハーフ,RW (Position Group: Wide Attacker)
Tsuyoshi Miyaichi,Tsuyoshi Miyaichi,岩手,2024|岩手; 2025|讃岐,2024|岩手|1370.39; 2025|讃岐|189.20,2024-2025,1559.59,LCB,406.31,26.05,Central Defender,RCB,329.25,21.11,Central Defender,"LCB(406min/26.1%), RCB(329min/21.1%), RB(299min/19.2%), RWB(216min/13.8%), Right Wing Back(76min/4.9%), RW(73min/4.7%), Left Winger(44min/2.8%), Center Forward(25min/1.6%), LB(25min/1.6%), CF(22min/1.4%), Left Midfield(18min/1.2%), Right Back(15min/1.0%), Right Winger(10min/0.6%)",CB,センターバック,LCB (Position Group: Central Defender)
Uheiji Uehata,Uheiji Uehata,福島,2025|福島; 2024|福島,2025|福島|2260.89; 2024|福島|1331.89,2024-2025,3592.78,Left Midfield,1907.79,53.1,Midfield,DM,1019.04,28.36,Midfield,"Left Midfield(1908min/53.1%), DM(1019min/28.4%), RM(298min/8.3%), Defensive Midfield(219min/6.1%), Right Forward(52min/1.4%), Right Midfield(42min/1.2%), Left Forward(40min/1.1%), LM(14min/0.4%)",SH,サイドハーフ,Left Midfield (Position Group: Midfield)
Ukyo Takase,Ukyo Takase,宮崎,2024|宮崎,2024|宮崎|234.15,2024-2025,234.15,RW,143.23,61.17,Wide Attacker,AM,77.85,33.25,Midfield,"RW(143min/61.2%), AM(78min/33.2%), LM(13min/5.6%)",SH,サイドハーフ,RW (Position Group: Wide Attacker)
Vinícius de Souza Alves,Vinícius de Souza Alves,FC大阪,2025|FC大阪,2025|FC大阪|33.93,2024-2025,33.93,Right Winger,19.78,58.3,Wide Attacker,Right Midfield,14.15,41.7,Midfield,"Right Winger(20min/58.3%), Right Midfield(14min/41.7%)",SH,サイドハーフ,Right Winger (Position Group: Wide Attacker)
Wadi Ibrahim Suzuki,Wadi Ibrahim Suzuki,沼津,2025|沼津,2025|沼津|1276.84,2024-2025,1276.84,Center Forward,1070.56,83.84,Center Forward,Attacking Midfield,103.23,8.08,Midfield,"Center Forward(1071min/83.8%), Attacking Midfield(103min/8.1%), Left Midfield(61min/4.8%), Right Winger(26min/2.0%), Right Wing Back(17min/1.3%)",FW,フォワード,Center Forward (Position Group: Center Forward)
Wakaba Shimoguchi,Wakaba Shimoguchi,大宮,2024|大宮,2024|大宮|1557.90,2024-2025,1557.9,RWB,1012.45,64.99,Full Back,LB,486.43,31.22,Full Back,"RWB(1012min/65.0%), LB(486min/31.2%), LCB(39min/2.5%), LWB(20min/1.3%)",SB,サイドバック,RWB (Position Group: Full Back)
Wataru Hiramatsu,Wataru Hiramatsu,栃木SC,2025|栃木SC,2025|栃木SC|2842.66,2024-2025,2842.66,Center Back,2779.54,97.78,Central Defender,Left Center Back,63.12,2.22,Central Defender,"Center Back(2780min/97.8%), Left Center Back(63min/2.2%)",CB,センターバック,Center Back (Position Group: Central Defender)
Wataru Ise,Wataru Ise,奈良,2024|奈良,2024|奈良|753.04,2024-2025,753.04,RCB,509.1,67.61,Central Defender,LCB,238.12,31.62,Central Defender,"RCB(509min/67.6%), LCB(238min/31.6%), LWB(6min/0.8%)",CB,センターバック,RCB (Position Group: Central Defender)
Wesley Tanque da Silva,Wesley Tanque da Silva,今治,2024|今治,2024|今治|893.33,2024-2025,893.33,CF,588.32,65.86,Center Forward,AM,212.86,23.83,Midfield,"CF(588min/65.9%), AM(213min/23.8%), RW(35min/3.9%), RF(33min/3.7%), LW(24min/2.7%)",FW,フォワード,CF (Position Group: Center Forward)
Weverton de Souza Santos,Weverton de Souza Santos,沼津,2025|沼津,2025|沼津|48.95,2024-2025,48.95,Right Back,23.2,47.4,Full Back,Center Forward,15.03,30.7,Center Forward,"Right Back(23min/47.4%), Center Forward(15min/30.7%), Left Winger(11min/21.9%)",SB,サイドバック,Right Back (Position Group: Full Back)
William Owie,William Owie,岐阜,2025|岐阜,2025|岐阜|290.75,2024-2025,290.75,Center Forward,208.99,71.88,Center Forward,Left Winger,29.27,10.07,Wide Attacker,"Center Forward(209min/71.9%), Left Winger(29min/10.1%), Right Winger(24min/8.1%), Center Midfield(18min/6.2%), Attacking Midfield(9min/3.2%), Left Defensive Midfield(2min/0.5%)",FW,フォワード,Center Forward (Position Group: Center Forward)
Yamato Machida,Yamato Machida,北九州,2025|北九州,2025|北九州|181.90,2024-2025,181.9,Attacking Midfield,110.37,60.68,Midfield,Left Winger,35.03,19.26,Wide Attacker,"Attacking Midfield(110min/60.7%), Left Winger(35min/19.3%), Right Winger(21min/11.6%), Left Midfield(15min/8.5%)",ST,セカンドトップ,Attacking Midfield (Position Group: Midfield)
Yamato Natsukawa,Yamato Natsukawa,FC大阪,2024|FC大阪; 2025|FC大阪,2024|FC大阪|628.51; 2025|FC大阪|171.27,2024-2025,799.78,LW,597.59,74.72,Wide Attacker,Left Winger,98.33,12.29,Wide Attacker,"LW(598min/74.7%), Left Winger(98min/12.3%), Center Forward(40min/4.9%), Right Winger(33min/4.2%), RW(31min/3.9%)",SH,サイドハーフ,LW (Position Group: Wide Attacker)
Yasufumi Nishimura,Yasufumi Nishimura,群馬,2025|群馬; 2024|長野,2025|群馬|3166.30; 2024|長野|1977.74,2024-2025,5144.04,Right Winger,1489.95,28.96,Wide Attacker,LM,1118.69,21.75,Midfield,"Right Winger(1490min/29.0%), LM(1119min/21.7%), Right Midfield(914min/17.8%), RM(613min/11.9%), Center Forward(365min/7.1%), Left Winger(253min/4.9%), LW(98min/1.9%), Left Midfield(98min/1.9%), LF(97min/1.9%), AM(51min/1.0%), Center Midfield(30min/0.6%), Left Wing Back(16min/0.3%)",SH,サイドハーフ,Right Winger (Position Group: Wide Attacker)
Yasuto Fujita,Yasuto Fujita,YS横浜,2024|YS横浜,2024|YS横浜|1418.62,2024-2025,1418.62,RWB,328.45,23.15,Full Back,RM,302.48,21.32,Midfield,"RWB(328min/23.2%), RM(302min/21.3%), RW(206min/14.5%), LWB(197min/13.9%), DM(188min/13.3%), LM(99min/6.9%), LDM(98min/6.9%)",SB,サイドバック,RWB (Position Group: Full Back)
Ye-chan Yu,Ye-chan Yu,奈良,2025|奈良,2025|奈良|1487.86,2024-2025,1487.86,Left Back,1288.07,86.57,Full Back,Left Wing Back,177.01,11.9,Full Back,"Left Back(1288min/86.6%), Left Wing Back(177min/11.9%), Right Winger(23min/1.5%)",SB,サイドバック,Left Back (Position Group: Full Back)
Yiu Chung Au Yeung,Yiu Chung Au Yeung,讃岐,2024|讃岐,2024|讃岐|2.53,2024-2025,2.53,CF,2.53,100.0,Center Forward,,,,,CF(3min/100.0%),FW,フォワード,CF (Position Group: Center Forward)
Yohei Ono,Yohei Ono,讃岐,2025|讃岐; 2024|讃岐,2025|讃岐|1623.28; 2024|讃岐|423.90,2024-2025,2047.18,Center Forward,1513.38,73.93,Center Forward,CF,423.9,20.71,Center Forward,"Center Forward(1513min/73.9%), CF(424min/20.7%), Left Winger(62min/3.0%), Right Winger(38min/1.9%), Left Midfield(10min/0.5%)",FW,フォワード,Center Forward (Position Group: Center Forward)
Yohei Toyoda,Yohei Toyoda,金沢,2024|金沢,2024|金沢|27.79,2024-2025,27.79,CF,27.79,100.0,Center Forward,,,,,CF(28min/100.0%),FW,フォワード,CF (Position Group: Center Forward)
Yoji Sasaki,Yoji Sasaki,富山,2024|富山,2024|富山|443.48,2024-2025,443.48,AM,283.87,64.01,Midfield,RW,68.28,15.4,Wide Attacker,"AM(284min/64.0%), RW(68min/15.4%), CF(60min/13.6%), RM(31min/7.0%)",ST,セカンドトップ,AM (Position Group: Midfield)
Yong-Jae Lee,Yong-Jae Lee,岐阜,2024|岐阜,2024|岐阜|376.94,2024-2025,376.94,CF,368.41,97.74,Center Forward,RW,8.53,2.26,Wide Attacker,"CF(368min/97.7%), RW(9min/2.3%)",FW,フォワード,CF (Position Group: Center Forward)
